platform,title,company,location,link,posted,first_seen
LinkedIn,Internship – Software Engineer | Bhor Kolkata,Bhor Kolkata,Greater Kolkata Area,https://in.linkedin.com/jobs/view/internship-%E2%80%93-software-engineer-bhor-kolkata-at-bhor-kolkata-4410505218,2026-05-05,2026-07-02T18:04:52
LinkedIn,SDE Intern,Hyperqube Ionic,India,https://in.linkedin.com/jobs/view/sde-intern-at-hyperqube-ionic-4415166788,2026-05-16,2026-07-02T18:04:52
LinkedIn,Software Engineer Intern,Silvermine Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-intern-at-silvermine-group-4431874346,2026-06-24,2026-07-02T18:04:52
LinkedIn,Software Engineer Intern,Anakin (YC S21),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-intern-at-anakin-yc-s21-4416159817,2026-05-20,2026-07-02T18:04:52
LinkedIn,Software Engineer Intern,Friday Media Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-intern-at-friday-media-group-4422944176,2026-06-03,2026-07-02T18:04:52
LinkedIn,Software Engineer Intern,THYNE,India,https://in.linkedin.com/jobs/view/software-engineer-intern-at-thyne-4428821021,2026-06-15,2026-07-02T18:04:52
LinkedIn,Analytics Practitioner,Accenture in India,"Coimbatore, Tamil Nadu, India",https://in.linkedin.com/jobs/view/analytics-practitioner-at-accenture-in-india-4416274825,2026-06-25,2026-07-02T18:58:44
LinkedIn,Data Analyst,Arcana,"Coimbatore, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-arcana-4321054720,2026-06-01,2026-07-02T18:58:44
LinkedIn,Data Analyst,Tata Consultancy Services,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4430454488,2026-06-18,2026-07-02T18:58:44
LinkedIn,Drilling Data Analyst,SLB,"Dehradun, Uttarakhand, India",https://in.linkedin.com/jobs/view/drilling-data-analyst-at-slb-4401618300,2026-06-22,2026-07-02T18:58:44
LinkedIn,Data Analyst,SISL Global,India,https://in.linkedin.com/jobs/view/data-analyst-at-sisl-global-4434451137,2026-06-29,2026-07-02T18:58:44
LinkedIn,Data Management - Data Analyst,CGI,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-management-data-analyst-at-cgi-4434297733,2026-06-28,2026-07-02T18:58:44
LinkedIn,BI Analyst,Convoso,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/bi-analyst-at-convoso-4379439854,2026-06-19,2026-07-02T18:58:44
LinkedIn,Data Analyst,Fireblaze AI School,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/data-analyst-at-fireblaze-ai-school-4267996271,2025-07-16,2026-07-02T18:58:44
LinkedIn,Data Analyst,Apyrn,"Itanagar, Arunachal Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-apyrn-4433349460,2026-06-25,2026-07-02T18:58:44
LinkedIn,PYTHON DEVELOPER,Bix Bytes Solutions AG,"Mangaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-bix-bytes-solutions-ag-4199302467,2025-04-04,2026-07-02T18:58:44
LinkedIn,Python Developer,ekhool,"Thiruvananthapuram, Kerala, India",https://in.linkedin.com/jobs/view/python-developer-at-ekhool-4407182030,2026-04-27,2026-07-02T18:58:44
LinkedIn,Python Developer (202510-J1000002),Jeeno Technologies Inc,Greater Coimbatore Area,https://in.linkedin.com/jobs/view/python-developer-202510-j1000002-at-jeeno-technologies-inc-4409956032,2026-05-06,2026-07-02T18:58:44
LinkedIn,Python Engineer,Virtusa,"Andhra Pradesh, India",https://in.linkedin.com/jobs/view/python-engineer-at-virtusa-4408429111,2026-06-17,2026-07-02T18:58:44
LinkedIn,Python Backend Developer,TECHNIX TECHNOLOGY,"Patna, Bihar, India",https://in.linkedin.com/jobs/view/python-backend-developer-at-technix-technology-4341515435,2025-12-02,2026-07-02T18:58:44
LinkedIn,Python Developer,REDVision Technologies,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/python-developer-at-redvision-technologies-4306122390,2025-09-30,2026-07-02T18:58:44
LinkedIn,Python Backend developer,Persistent Systems,"Nagpur, Maharashtra, India",https://in.linkedin.com/jobs/view/python-backend-developer-at-persistent-systems-4435040606,2026-07-02,2026-07-02T18:58:44
LinkedIn,Custom Software Engineer,Accenture in India,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4428191376,2026-06-25,2026-07-02T18:58:44
LinkedIn,Custom Software Engineer,Accenture in India,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4433367548,2026-06-25,2026-07-02T18:58:44
LinkedIn,Python Developer,unreconciled,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/python-developer-at-unreconciled-4425053979,2026-05-14,2026-07-02T18:58:44
LinkedIn,Software Engineering INTERN,Microsoft,India,https://in.linkedin.com/jobs/view/software-engineering-intern-at-microsoft-4431230698,2026-06-23,2026-07-02T18:58:44
LinkedIn,Machine Learning Intern,Aftershoot,"Bawana, Delhi, India",https://in.linkedin.com/jobs/view/machine-learning-intern-at-aftershoot-4431601355,2026-06-21,2026-07-02T18:58:44
LinkedIn,Machine Learning Intern (Paid),Dexter's Tech,India,https://in.linkedin.com/jobs/view/machine-learning-intern-paid-at-dexter-s-tech-4436396129,2026-07-02,2026-07-02T18:58:44
LinkedIn,Data Scientist,KANINI,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-scientist-at-kanini-4386537210,2026-03-16,2026-07-02T18:58:44
LinkedIn,SDE Intern (Founding Team) | AI x Developer Tools | Remote,Repowise,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sde-intern-founding-team-ai-x-developer-tools-remote-at-repowise-4432624024,2026-06-25,2026-07-02T18:58:44
LinkedIn,Machine Learning Intern,Webs IT Solution,India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-webs-it-solution-4436325302,2026-07-02,2026-07-02T18:58:44
LinkedIn,SDE Intern,Oviguide,India,https://in.linkedin.com/jobs/view/sde-intern-at-oviguide-4428469938,2026-06-17,2026-07-02T18:58:44
LinkedIn,Python Developer,Virtusa,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-virtusa-4405554401,2026-06-11,2026-07-02T19:28:23
LinkedIn,Data Scientist-Artificial Intelligence,IBM,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4411579653,2026-06-26,2026-07-02T19:28:23
LinkedIn,Data Scientist,Gradera,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-gradera-4434233330,2026-06-27,2026-07-02T19:28:23
LinkedIn,Software Engineer Trainee,Genrobotics,"Thiruvananthapuram Taluk, India",https://in.linkedin.com/jobs/view/software-engineer-trainee-at-genrobotics-4419078060,2026-05-28,2026-07-02T19:28:23
LinkedIn,Backend & Systems Engineering Intern (SDE - Golang),Raptee.HV,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/backend-systems-engineering-intern-sde-golang-at-raptee-hv-4410410342,2026-05-07,2026-07-02T19:28:23
LinkedIn,Software Engineering Intern,Abhi Loans,"Delhi, India",https://in.linkedin.com/jobs/view/software-engineering-intern-at-abhi-loans-4435218071,2026-07-02,2026-07-02T19:28:23
LinkedIn,Software Developer Intern,MEL Systems and Services Ltd.,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/software-developer-intern-at-mel-systems-and-services-ltd-4317770784,2025-10-23,2026-07-02T19:28:23
LinkedIn,Engineer Intern,Reliance Retail,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/engineer-intern-at-reliance-retail-4415256564,2026-06-16,2026-07-02T19:28:23
LinkedIn,Software Engineer Intern,bluCognition,"Jaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/software-engineer-intern-at-blucognition-4417470339,2026-06-19,2026-07-02T19:28:23
LinkedIn,1 year  Internship_SW_CDC,Qualcomm,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/1-year-internship-sw-cdc-at-qualcomm-4376091071,2026-06-11,2026-07-02T19:28:23
LinkedIn,Business Data Analyst,Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-google-4426248394,2026-07-02,2026-07-03T02:10:19
LinkedIn,Python Developer,Wipro,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-wipro-4427192976,2026-06-11,2026-07-03T02:10:19
LinkedIn,Python Django Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-django-developer-at-infosys-4435532023,2026-07-01,2026-07-03T02:10:19
LinkedIn,Software Engineer Intern,Augle AI,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/software-engineer-intern-at-augle-ai-4430696523,2026-06-27,2026-07-03T02:10:19
LinkedIn,Machine Learning Intern (Paid),Dexter's Tech,India,https://in.linkedin.com/jobs/view/machine-learning-intern-paid-at-dexter-s-tech-4436488138,2026-07-03,2026-07-03T08:52:24
LinkedIn,Software Engineer Intern,AI Startup Impact,India,https://in.linkedin.com/jobs/view/software-engineer-intern-at-ai-startup-impact-4435294618,2026-07-03,2026-07-03T08:52:24
LinkedIn,Machine Learning Intern,Webs IT Solution,India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-webs-it-solution-4436412210,2026-07-02,2026-07-03T08:52:24
LinkedIn,Data Analyst,UST,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/data-analyst-at-ust-4426228013,2026-06-11,2026-07-03T13:47:31
LinkedIn,Python Developer,DecodeUp (P) Limited,"Chorasi, Gujarat, India",https://in.linkedin.com/jobs/view/python-developer-at-decodeup-p-limited-4287324800,2025-08-18,2026-07-03T13:47:31
LinkedIn,Python Developer,Empnéo ICT,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/python-developer-at-empn%C3%A9o-ict-4426041718,2026-06-10,2026-07-03T13:47:31
LinkedIn,Software Engineering INTERN,Microsoft,"Bihar, India",https://in.linkedin.com/jobs/view/software-engineering-intern-at-microsoft-4436735193,2026-07-03,2026-07-03T13:47:31
LinkedIn,Machine Learning Intern (Paid),Dexter's Tech,India,https://in.linkedin.com/jobs/view/machine-learning-intern-paid-at-dexter-s-tech-4436734582,2026-07-03,2026-07-03T13:47:31
LinkedIn,Machine Learning Intern,Webs IT Solution,India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-webs-it-solution-4436709806,2026-07-03,2026-07-03T13:47:31
LinkedIn,Backend Developer Intern,Hancod,"Perintalmanna, Kerala, India",https://in.linkedin.com/jobs/view/backend-developer-intern-at-hancod-4435407941,2026-07-03,2026-07-03T13:47:31
LinkedIn,Portfolio Data Analyst (Coimbatore),Arcana,Greater Coimbatore Area,https://in.linkedin.com/jobs/view/portfolio-data-analyst-coimbatore-at-arcana-4383226757,2026-06-01,2026-07-03T19:06:24
LinkedIn,Full Stack Developer,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/full-stack-developer-at-deloitte-4349600916,2026-05-08,2026-07-03T19:06:24
LinkedIn,Data Scientist,Trailytics AI,"Bhopal, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/data-scientist-at-trailytics-ai-4435429451,2026-07-03,2026-07-03T19:06:24
LinkedIn,Data Scientist-Artificial Intelligence,IBM,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4432393426,2026-07-01,2026-07-03T19:06:24
LinkedIn,Data Scientist,HP,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-scientist-at-hp-4422351833,2026-06-05,2026-07-03T19:06:24
LinkedIn,Software Engineer Trainee - PHP/MYSQL,Unibros Technologies,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/software-engineer-trainee-php-mysql-at-unibros-technologies-4306119418,2025-09-30,2026-07-03T19:06:24
LinkedIn,Business Data Analyst,Google,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-google-4426242452,2026-07-02,2026-07-04T02:08:52
LinkedIn,Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4435285834,2026-07-03,2026-07-04T02:08:52
LinkedIn,Software Trainee Engineer,Siemens Healthineers,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/software-trainee-engineer-at-siemens-healthineers-4433181872,2026-07-03,2026-07-04T02:08:52
LinkedIn,Machine Learning Intern (Paid),Dexter's Tech,India,https://in.linkedin.com/jobs/view/machine-learning-intern-paid-at-dexter-s-tech-4436941013,2026-07-04,2026-07-04T08:27:16
LinkedIn,Machine Learning Intern (Remote),MediNex Workforce,India,https://in.linkedin.com/jobs/view/machine-learning-intern-remote-at-medinex-workforce-4435465581,2026-07-03,2026-07-04T08:27:16
LinkedIn,Machine Learning Intern,Webs IT Solution,India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-webs-it-solution-4436788552,2026-07-03,2026-07-04T08:27:16
LinkedIn,Data Analyst,Arcgate,"Udaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/data-analyst-at-arcgate-4220217890,2025-05-02,2026-07-04T13:06:16
LinkedIn,Data Analyst,ARC Gate Private Limited,"Ajmer, Rajasthan, India",https://in.linkedin.com/jobs/view/data-analyst-at-arc-gate-private-limited-4433646996,2026-06-29,2026-07-04T13:06:16
LinkedIn,Trainee RWD Software Engineer,Gallagher,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/trainee-rwd-software-engineer-at-gallagher-4151673062,2026-06-26,2026-07-04T13:06:16
LinkedIn,Data Scientist,Lingaro,India,https://in.linkedin.com/jobs/view/data-scientist-at-lingaro-4426911742,2026-06-12,2026-07-04T13:06:16
LinkedIn,Senior Data Scientist I,Nielsen,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-nielsen-4418788933,2026-07-03,2026-07-04T13:06:16
LinkedIn,Intern - AI-Native Software Engineering,Chegg India,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/intern-ai-native-software-engineering-at-chegg-india-4429034421,2026-06-18,2026-07-04T13:06:16
LinkedIn,Data Scientist,SLB,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-slb-4427853377,2026-06-18,2026-07-04T13:06:16
LinkedIn,Data Scientist,Colgate-Palmolive,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-scientist-at-colgate-palmolive-4417050826,2026-07-01,2026-07-04T13:06:16
LinkedIn,Associate Data Scientist - Enterprise & Reporting,Circle K,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-data-scientist-enterprise-reporting-at-circle-k-4395998184,2026-07-04,2026-07-04T13:06:16
LinkedIn,Data Scientist,TEKsystems Global Services in India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-teksystems-global-services-in-india-4401719300,2026-06-11,2026-07-04T13:06:16
LinkedIn,Data Science Intern,BNP Paribas,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-science-intern-at-bnp-paribas-4436910676,2026-07-04,2026-07-04T13:06:16
LinkedIn,Software Engineer Intern (AI/ML) - AI Powered Global Tech Venture (Fully Remote),SkillsCapital,India,https://in.linkedin.com/jobs/view/software-engineer-intern-ai-ml-ai-powered-global-tech-venture-fully-remote-at-skillscapital-4433733794,2026-07-04,2026-07-04T18:59:27
LinkedIn,Python Developer,Infosys,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4435286694,2026-07-03,2026-07-05T02:24:19
LinkedIn,Machine Learning Intern,ERIC Robotics,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-intern-at-eric-robotics-4436976334,2026-06-09,2026-07-05T02:24:19
LinkedIn,Machine Learning Intern,Webs IT Solution,India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-webs-it-solution-4436972136,2026-07-04,2026-07-05T02:24:19
